,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
0,2,1.0,Okay. Then make it easier. So we need [that blue cube looking one]...,DS,Q4-C23-Bl-Pr,nsubj
1,2,2.0,[That's] going to be the starting piece.,IR,Q4-C23-Bl-Pr,nsubj
2,2,3.0,[It's] going to be on that side. Yeah.,IR,Q4-C23-Bl-Pr,nsubj
3,2,4.0,"And on top of [that], [it's] going to be [a red one].",N,Q4-C23-Bl-Pr,pobj
4,2,4.0,"And on top of [that], [it's] going to be [a red one].",N,New-Re-Pr,nsubj
5,2,4.0,"And on top of [that], [it's] going to be [a red one].",N,Q4-C11-Re-Pr,False
6,2,5.0,"And then when you need [two green cubes] like [that one], ",N,"New-Gr-Cu1, New-Gr-Cu2",dobj
7,2,5.0,"And then when you need [two green cubes] like [that one], ",DS,Q4-C11-Gr-Cu,False
8,2,6.0,you need [one more of [those]].,N,"New-Gr-Cu2, Q1-C33-Gr-Cu",pobj
9,2,6.0,you need [one more of [those]].,N,Q4-C11-Gr-Cu,input manually
10,2,7.0,And then you also want to get [a yellow cube] just like [that].,N,"New-Ye-Cu, Q2-C12-Ye-Cu",dobj
11,2,7.0,And then you also want to get [a yellow cube] just like [that].,N,Q4-C11-Gr-Cu,pobj
12,2,8.0,So [the two green cubes] are going to be stacked to the right.,N,"Q1-C33-Gr-Cu, Q4-C11-Gr-Cu",nsubj
13,2,9.0,Yes. And then [two yellow cubes] are going to be stacked right of [that].,N,"Q2-C12-Ye-Cu, Q4-C33-Ye-Cu",nsubj
14,2,9.0,Yes. And then [two yellow cubes] are going to be stacked right of [that].,N,"Q1-C33-Gr-Cu, Q4-C11-Gr-Cu",pobj
15,2,10.0,"And then you're going to put [two]{gestures}[of the long green ones], ",N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",False
16,2,10.0,"And then you're going to put [two]{gestures}[of the long green ones], ",DS,Q4-C23-Gr-Rl,dobj
17,2,11.0,to the right of [the yellow bricks].,N,"Q2-C12-Ye-Cu, Q4-C33-Ye-Cu",pobj
18,2,12.0,Okay,N,,input manually
19,2,13.0,"And on top of [that], it's going to be [this red triangle] on top of [the long green bricks].",N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",pobj
20,2,13.0,"And on top of [that], it's going to be [this red triangle] on top of [the long green bricks].",DP,Q4-C32-Re-Ts,attr
21,2,13.0,"And on top of [that], it's going to be [this red triangle] on top of [the long green bricks].",DS,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",pobj
22,2,14.0,And then [it's] going to be hanging off the right side a little bit.,A,Q4-C32-Re-Ts,nsubj
23,2,15.0,"And then on top of the a little bit to the right, you need [a long one of [those]]",N,New-Re-Rl,pobj
24,2,15.0,"And then on top of the a little bit to the right, you need [a long one of [those]]",DS,Q4-C13-Re-Rs,input manually
25,,,,,,input manually
26,3,1.0,Ok. So where you're starting with [this long green one].,DS,Q3-C32-Gr-Rl,False
27,3,2.0,We're going to make [it] flat.,N,Q3-C32-Gr-Rl,nsubj
28,3,3.0,"We're going to put [that red one] on top of [it], also flat.",DS,Q3-C12-Re-Rl,False
29,3,3.0,"We're going to put [that red one] on top of [it], also flat.",N,Q3-C32-Gr-Rl,pobj
30,3,4.0,"And then it looks like there's [a yellow rectangle, but like a small one].",IR,"New-Ye-Pr, Q2-C23-Ye-Pr",False
31,3,5.0,[That]'s going to go right side up next to [it]. ,A,New-Ye-Pr,nsubj
32,3,5.0,[That]'s going to go right side up next to [it]. ,N,"Q3-C12-Re-Rl, Q3-C32-Gr-Rl",pobj
33,3,6.0,And then you also need [a blue one]. ,N,New-Bl-Pr,False
34,3,7.0,[It] needs to be like two cubes put together. ,IR,New-Ye-Pr,nsubj
35,3,8.0,That's what [it] looks like...,IR,New-Ye-Pr,nsubj
36,3,9.0,Right. Right. So [that] goes to the left of [it].,N,Q2-C23-Ye-Pr,nsubj
37,3,9.0,Right. Right. So [that] goes to the left of [it].,DL,"Q3-C12-Re-Rl, Q3-C32-Gr-Rl",pobj
