,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,Unnamed: 5,Unnamed: 6,grammatical role
0,2.0,1.0," So we're going to need to start with, we need [a blue]. {points}",,New-Bl-Pr,,,NI
1,2.0,1.0," So we're going to need to start with, we need [a blue]. {points}",,Q4-C11-Re-Pr,,,NI
2,2.0,2.0,"Gosh, I mean [a blue one of those].{keeps pointing}",,Q2-C32-Bl-Pr,,,NI
3,2.0,2.0,"Gosh, I mean [a blue one of those].{keeps pointing}",,Q4-C11-Re-Pr,,,NI
4,2.0,3.0,"I don't see [one] here, but yeah, we need [one that's blue, That's rectangular.]",,Q2-C32-Bl-Pr,,,NI
5,2.0,3.0,"I don't see [one] here, but yeah, we need [one that's blue, That's rectangular.]",,Q4-C11-Re-Pr,,,nsubj
6,2.0,4.0,Okay. So [that one]'s going to sit like that. Yeah.,,Q2-C32-Bl-Pr,,,NI
7,2.0,5.0,"And then we need [a green cube], that'll sit next to [it], right there. ",,Q4-C11-Gr-Cu,, ,dobj
8,2.0,5.0,"And then we need [a green cube], that'll sit next to [it], right there. ",,Q2-C32-Bl-Pr,,,pobj
9,2.0,6.0,Yeah. Like that.,,,,,
10,2.0,7.0,And then we need [a yellow cube]. ,,Q4-C33-Ye-Cu,,,dobj
11,2.0,8.0,There's [one] right here.,,Q4-C33-Ye-Cu,,,NI
12,2.0,9.0,"And we need a... yeah, [two green, long ones] like [those]. ",,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",,,NI
13,2.0,9.0,"And we need a... yeah, [two green, long ones] like [those]. ",,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",,,pobj
14,2.0,10.0,[They]'ll sit like this.,,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",,,nsubj
15,2.0,11.0,Okay. And then we need [that red one] that will sit on top of [the blue one].,,Q4-C11-Re-Pr,,,NI
16,2.0,11.0,Okay. And then we need [that red one] that will sit on top of [the blue one].,,Q2-C32-Bl-Pr,,,NI
17,2.0,12.0,And then [another green cube].,,New-Gr-Cu,,,NI
18,2.0,13.0,I don't think we have [one] here. ,,Q1-C31-Gr-Cu,,,NI
19,2.0,14.0,Gosh. I knocked over a couple of things.,,,,,
20,2.0,15.0,I want to get closer but then I bumped my knee on the crossbeam,,,,,
21,,,,,,,,
22,3.0,1.0,"So we're going to need, ",,,,,
23,3.0,2.0,"I don't see [one] here, but we need [a yellow rectangular prism]. ",,New-Ye-Pr,,,NI
24,3.0,2.0,"I don't see [one] here, but we need [a yellow rectangular prism]. ",,Q2-C33-Ye-Pr,,,dobj
25,3.0,3.0,I don't see [one] here.,,Q2-C33-Ye-Pr,,,NI
26,3.0,4.0,"Okay, cool. So then [that] will set up on end like that",,Q2-C33-Ye-Pr,,,pobj
27,3.0,5.0,"And next to [it], we're going to have [this green].",,Q2-C33-Ye-Pr,,,pobj
28,3.0,5.0,"And next to [it], we're going to have [this green].",,Q3-C32-Gr-Rl,,,dobj
29,3.0,6.0,"And then [that one, that red one] will sit on top of it.",,Q3-C12-Re-Rl,,,NI
30,3.0,7.0,"Let me need a [green rectangular prism, kind of like [that one], but green.]",,New-Gr-Pr,,,NI
31,3.0,7.0,"Let me need a [green rectangular prism, kind of like [that one], but green.]",,Q2-C33-Ye-Pr,,,NI
32,3.0,8.0,[That] will sit like that but up against there.,,Q2-C21-Gr-Pr,,,nsubj
33,3.0,9.0,The we need to use [this green cylinder],,Q3-C33-Gr-Cy,,,dobj
34,3.0,10.0,"that will set [it] next to there, standing up on end.",,Q3-C33-Gr-Cy,,,dobj
35,3.0,11.0,"Then, you need to use [this red cube] and [that red cube].",,Q3-C32-Re-Cu,,,dobj
36,3.0,11.0,"Then, you need to use [this red cube] and [that red cube].",,Q3-C23-Re-Cu,,,conj
37,3.0,12.0,And then [it] will go on top of there. ,,"Q3-C23-Re-Cu, Q3-C32-Re-Cu",,,nsubj
38,3.0,13.0,Yeah.,,,,,
39,3.0,14.0,"And then you need [a blue, a blue, one of [those]]. ",,New-Bl-Pr,,,NI
40,3.0,14.0,"And then you need [a blue, a blue, one of [those]]. ",,Q2-C33-Ye-Pr,,,NI
41,3.0,15.0,Well actually wait now.,,,,,NI
