,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,Unnamed: 5,grammatical role
0,2,1.0,"So [the first piece] is going to be [another one of the long boxes in blue], ",N,New-Bl-Pr,,nsubj
1,2,1.0,"So [the first piece] is going to be [another one of the long boxes in blue], ",IR,Q2-C32-Bl-Pr,New-Bl-Pr becomes Q2-C32-Bl-Pr around U3,NI
2,2,2.0,And you have to look for [that piece].,N,Q2-C32-Bl-Pr,,pobj
3,2,3.0,Yeah. So [that] goes down horizontally like this at the very left of [it].,N,Q2-C32-Bl-Pr,,nsubj
4,2,3.0,Yeah. So [that] goes down horizontally like this at the very left of [it].,IR,Q2-C32-Bl-Pr,,pobj
5,2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,Q2-C32-Bl-Pr,,pobj
6,2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",IR,New-Gr-Cu,,NI
7,2,4.0,"And then, to the right of [that] is [a green cube], like [that piece]. Yeah.",DS,Q4-C11-Gr-Cu,,pobj
8,2,5.0,And [it] goes to the right of [the blue].,N,Q4-C11-Gr-Cu,,nsubj
9,2,5.0,And [it] goes to the right of [the blue].,A,Q2-C32-Bl-Pr,,NI
10,2,6.0,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",A,Q4-C11-Gr-Cu,,pobj
11,2,6.0,"Okay. And then to the right of [the green cube], is [a yellow cube] like this.",DS,Q4-C33-Ye-Cu,,NI
12,2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",DS,"Q4-C11-Gr-Cu, Q4-C33-Ye-Cu",,pobj
13,2,7.0,"Okay. And then on top of [each of the cubes], it's [a cube with the same color].",A,"New-Gr-Cu, New-Ye-Cu",,pobj
14,2,8.0,So you have [the cube] on top of [this yellow].,DS,Q2-C12-Ye-Cu,,dobj
15,2,8.0,So you have [the cube] on top of [this yellow].,N,Q4-C33-Ye-Cu,,NI
16,2,9.0,And [green cube] on top of [that]. ,N,Q1-C33-Gr-Cu,,NI
17,2,9.0,And [green cube] on top of [that]. ,DS,Q4-C11-Gr-Cu,,pobj
18,2,10.0,So you have to look for [this].,N,"Q2-C12-Ye-Cu, Q1-C33-Gr-Cu",,pobj
19,2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,"Q2-C12-Ye-Cu, Q1-C33-Gr-Cu",,NI
20,2,11.0,Okay. And then [the same color] stack on top of [the same ones].,N,"Q4-C11-Gr-Cu, Q4-C33-Ye-Cu",,pobj
21,2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DS,"Q1-C33-Gr-Cu, Q4-C11-Gr-Cu",,pobj
22,2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",A,New-Gr-Rl,,NI
23,2,12.0,"Okay. And then to the right of [the cubes] are [two tall rectangles in green], like [those].",DP,Q4-C21-Gr-Rl,,pobj
24,2,13.0,And [those] are stacked vertically next to [one another].,N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",,nsubj
25,2,13.0,And [those] are stacked vertically next to [one another].,N,"Q4-C21-Gr-Rl, Q4-C23-Gr-Rl",,NI
26,2,14.0,And on top of [the blue rectangle] is [a red rectangle in the same shape].,DS,Q2-C32-Bl-Pr,,pobj
27,2,14.0,And on top of [the blue rectangle] is [a red rectangle in the same shape].,N,New-Re-Pr,,pobj
28,2,15.0,Like [that one].,DS,Q4-C11-Re-Pr,,NI
29,,,,,,,
30,3,1.0,Okay. So it's going to start with [a long rectangle piece of...or a rectangle cube of yellow].,IR,New-Ye-Pr,,pobj
31,3,2.0,"Yeah. [That's] not here, so look for, like [a long rectangle that's cube].",N,Q2-C23-Ye-Pr,,nsubj
32,3,2.0,"Yeah. [That's] not here, so look for, like [a long rectangle that's cube].",IR,Q2-C23-Ye-Pr,,NI
33,3,3.0,"Yeah, like [that].",N,Q2-C23-Ye-Pr,,pobj
34,3,4.0,Okay. And [that's] going to stack vertically at the very left of [it].,N,Q2-C23-Ye-Pr,,nsubj
35,3,4.0,Okay. And [that's] going to stack vertically at the very left of [it].,N,Q2-C23-Ye-Pr,,pobj
36,3,5.0,And then next to [it] is going to be [a long green peice] like this.,N,Q2-C23-Ye-Pr,,pobj
37,3,5.0,And then next to [it] is going to be [a long green peice] like this.,DS,Q3-C32-Gr-Rl,,NI
38,3,6.0,"And [that's] going to be stack, yeah, like parallel to the table",N,Q3-C32-Gr-Rl,,nsubj
39,3,7.0,On top of [that] is [a red piece] just like [that].,N,Q3-C32-Gr-Rl,,pobj
40,3,7.0,On top of [that] is [a red piece] just like [that].,N,Q3-C12-Re-Rl,,NI
41,3,7.0,On top of [that] is [a red piece] just like [that].,DS,Q3-C12-Re-Rl,,pobj
42,3,8.0,[That's] going the same direction as [it] just on top.,N,Q3-C12-Re-Rl,,nsubj
43,3,8.0,[That's] going the same direction as [it] just on top.,N,Q3-C32-Gr-Rl,,nsubj
44,3,9.0,"On top of [the red] is [a long green], just like [the yellow].",N,Q3-C12-Re-Rl,,NI
45,3,9.0,"On top of [the red] is [a long green], just like [the yellow].",IR,New-Gr-Pr,,NI
46,3,9.0,"On top of [the red] is [a long green], just like [the yellow].",DP,Q2-C23-Ye-Pr,,NI
47,3,10.0,So... look for [that piece].,N,Q2-C21-Gr-Pr,,pobj
48,3,11.0,Ok. Yeah. And then [that's] going to be parallel with the table again.,N,Q2-C23-Ye-Pr,,nsubj
49,3,12.0,"And on top of [that green piece] ,are going to be [two cubes like [this] in red].",N,Q2-C23-Ye-Pr,,pobj
50,3,12.0,"And on top of [that green piece] ,are going to be [two cubes like [this] in red].",N,New-Re-Cu,,pobj
51,3,12.0,"And on top of [that green piece] ,are going to be [two cubes like [this] in red].",DP,Q3-C32-Re-Cu,,NI
52,3,13.0,Yeah. So look for a... There's [a piece right here].,DS,Q3-C23-Re-Cu,,NI
53,3,14.0,"And then [a green cylinder] like [this], is going to go on top of [the red here].",N,Q3-C33-Gr-Cy,,nsubj
54,3,14.0,"And then [a green cylinder] like [this], is going to go on top of [the red here].",DP,Q3-C33-Gr-Cy,,pobj
55,3,14.0,"And then [a green cylinder] like [this], is going to go on top of [the red here].",DS,Q3-C12-Re-Rl,,pobj
56,3,15.0,Yeah. [The piece] parallel to the table.,N,Q3-C12-Re-Rl,,nsubj
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,"So, look for that piece.",,,,,,
117,Okay. And then two more pieces.,,,,,,
118,"One of them is a red triangle piece, but it's... it has the same shape as the cube.",,,,,,
119,It's red and triangle.,,,,,,
120,So look for that piece.,,,,,,
121,19:38,,,,,,
122,"Red triangle, it's going to be like, if you cut the square in half diagonally, it's going to be that shape.",,,,,,
123,"Oh, that's right.",,,,,,
124,"Okay. And then that's going to stack with the diagonal side, going towards the right of the whole thing, like this way. Yeah.",,,,,,
125,"And on the very top of it, is going to be a blue cylinder like this.",,,,,,
126,So look for that piece.,,,,,,
127,And then that goes on top of the two red rectangles.,,,,,,
128,Okay. That's right. But I'll just double check. Okay. We're finished with this one.,,,,,,
129,20:57,,,,,,
130,"Okay. So this one, I would start with the long rectangle blue piece",,,,,,
131,And you'll find a long rectangle blue piece.,,,,,,
132,"Actually, no, find two of them.",,,,,,
133,Cause you need one of them for the most part.,,,,,,
134,21:19,,,,,,
135,"Okay. So, you know, one of them is going to be flat like this and the next piece, it was later.",,,,,,
136,So next to that is going to be a yellow arch like that piece.,,,,,,
137,And this time you're going to have it on the short edge vertically.,,,,,,
138,"And the long face is going to be to the right of this, to the right of the yellow piece on the floor. The opposite. Yeah.",,,,,,
139,The arch is facing away from that.,,,,,,
140,"And then to the right of that is a blue cylinder like this piece. And, yeah, just like that.",,,,,,
141,22:01,,,,,,
142,Can you... you can put the next blue piece staffed vertically at the very left of this blue rectangle.,,,,,,
143,It's going to be on top of the blue rectangle. Yeah. Like that.,,,,,,
144,And then there's going to be a yellow slope like this.,,,,,,
145,It's going to be stacked vertically and the slant is going to be going this way. The long face is going to be parallel. It's going to be to the left of everything.,,,,,,
146,"But the long side is going to be parallel to the, like the blue rectangle, and the slope is going to be pointing away. Yeah.",,,,,,
147,Okay. And then there's going to be a red arch inside of that. So look for a red arch.,,,,,,
148,23:08,,,,,,
149,Okay. And that's going to be stacked vertically inside the blue thing.,,,,,,
150,It's going to be facing the same way as the yellow arch. Yeah.,,,,,,
151,Okay. And then there's going to be a yellow and a green cube inside of there.,,,,,,
152,So look for a yellow and a green cube.,,,,,,
153,Okay. So the yellow cube is going to be right next to the arch on top of the blue rectangle.,,,,,,
154,Yeah. Right at the very right of the blue.,,,,,,
155,And on top of that is the green.,,,,,,
156,23:47,,,,,,
157,And then there's going to be two green semi-circles and two blue semi-circles.,,,,,,
158,So they're going to form like a circle on top of the arches.,,,,,,
159,So the green one is going to form a circle on top of the red.,,,,,,
160,And the blue is going to form a circle on top of that.,,,,,,
161,"Then, what's going to be like a circle this way.",,,,,,
162,It's going to be like the same shape as the cylinder from top down.,,,,,,
163,Yeah. So it's going to be like that except the...,,,,,,
164,"Both of the pieces that are going to be curved so that the indent between them is facing like perpendicular from everything else. Like this way. Yeah. So I don't know how to explain it about that, but it's going to be like that.",,,,,,
165,"So you need to find another green semicircle, another blue center to finish that.",,,,,,
166,24:58:00,,,,,,
167,Yeah. It's just going to finish those out.,,,,,,
168,25:08:00,,,,,,
169,"Okay. And then... Oh, no. Okay. So the semicircle is actually supposed to be on top of the green block, just to move it up there. Yeah.",,,,,,
170,And then a blue cube like this is on top of the yellow arch.,,,,,,
171,"Okay. And then there's going to be two yellow cylinders, like the blue one. So find those pieces.",,,,,,
172,25:49:00,,,,,,
173,"And then those are going to stack on top of each other on top of the blue block, the blue cube.",,,,,,
174,"Okay. And then there's going to be a blue, a red and a yellow slope like this. So look for those pieces.",,,,,,
175,26:25:00,,,,,,
176,"Ok. So the first one is going to be the blue one, which is going to go on top of the cylinder.",,,,,,
177,It's going to be facing the opposite way.,,,,,,
178,"It's this yellow one. Yeah, just like that.",,,,,,
179,"And then there's going to be a yellow slop facing the same direction as this, on top the yellow or the blue semi-circles.",,,,,,
180,Yup. And then the red slope is going to be facing with the long side down.,,,,,,
181,"And it's going to, its slope is going to be in the same direction as the yellows.",,,,,,
182,Yeah. I think that's it. We're done with this one.,,,,,,
