,Quadrant,Utterance Number,Reference,Unnamed: 3,Object referenced,Gesture Used,Liguistic Topic (Mentioned or Not Mentioned,Notes,Unnamed: 8,grammatical role
0,2.0,1.0,Okay. We're going to need a [second green] {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q1-C33-Gr-Cu,N,M,,,NI
1,2.0,1.0,Okay. We're going to need a second green {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q4-C11-Gr-Cu,DS,N,,,NI
2,2.0,1.0,Okay. We're going to need a second green {I gestures to obj} and a [second yellow cube] {I gestures to obj}.,Y,Q2-C12-Ye-Cu,N,M,,,NI
3,2.0,1.0,Okay. We're going to need a second green {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q4-C33-Ye-Cu,DP,N,,,NI
4,2.0,2.0,And then also it blue longer rectangle [piece]. The same thickness.,Y,New-Bl-Tr,IR ,M,,,NI
5,2.0,3.0,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C32-Bl-Wr,N,N,,,NI
6,2.0,3.0,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C31-Bl-Tr,N,N,,,NI
7,2.0,3.0,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C32-Bl-Wr,DP,M,,,NI
8,2.0,4.0,Start with [the blue piece] right there.,Y,Q2-C32-Bl-Wr,DS,M,,,pobj
9,2.0,5.0,Then [green cube] next to it to the right.,Y,Q1-C33-Gr-Cu,DP,M,,,NI
10,2.0,5.0,Then green cube next to [it] to the right.,Y,Q2-C32-Bl-Wr,N ,M,,,pobj
11,2.0,6.0,And [yellow cube] next to that.,Y,Q2-C12-Ye-Cu,DP,M,,,NI
12,2.0,6.0,And yellow cube next to [that].,Y,Q1-C33-Gr-Cu,A,M,,,pobj
13,2.0,7.0,"And then, [a red thing] {L points to obj}, the longer .... Yeah. On top of the blue.",Y,Q4-C11-Re-Wr,"IR, DP",M,,,NI
14,2.0,7.0,"And then, a red thing {L points to obj}, the longer ... Yeah. On top of the blue.",Y,Q4-C12-Re-Tr,N,N,L goes for wrong block and I correctes,,NI
15,2.0,7.0,"And then, a red thing {L points to obj}, the longer ... Yeah. On top of [the blue].",Y,Q2-C32-Bl-Wr,"IR, DS",M,,,NI
16,2.0,8.0,And then [another green] on top of the green.,Y,Q4-C11-Gr-Cu,A,M,,,NI
17,2.0,8.0,And then another green on top of [the green].,Y,Q1-C33-Gr-Cu,A,M,,,pobj
18,2.0,9.0,And [another yellow] on top of the yellow.,Y,Q4-C33-Ye-Cu,A,M,,,NI
19,2.0,9.0,And another yellow on top of [the yellow].,Y,Q2-C12-Ye-Cu,A,M,,,NI
20,2.0,10.0,"And then on the right of [these], stack  [point to obj]. Yeah. Perfectly like this.",Y,"Q4-C11-Re-Wr, Q2-C32-Bl-Wr, Q4-C11-Gr-Cu, Q1-C33-Gr-Cu, Q4-C33-Ye-Cu, Q2-C12-Ye-Cu",DL,M,Every cube in the construct is mentioed,,pobj
21,2.0,10.0,"And then on the right of these, stack [point to obj]. Yeah. Perfectly like this.",Y,Q4-C23-Gr-Tr,DP,N,,,dobj
22,,,,,,,,,,
23,2.0,11.0,Try to find another [green arch]  [point to obj],Y,Q3-C11-Gr-Ar,N,,,,NI
24,2.0,11.0,Try to find another green arch [point to obj].,Y,Q4-C12-Gr-Ar,DS,,,,NI
25,2.0,12.0,"And on top of [the red], make the circle. Yeah.",Y,Q4-C11-Re-Wr,DS,,,,NI
26,2.0,12.0,"And on top of the red, make [the circle]. Yeah.",N,,,,,,
27,2.0,13.0,"I need [another yellow], like one of these types of prisim.",Y,Q3-C21-Ye-Wr,IR,,,,NI
28,2.0,13.0,"I need another yellow, like one of [these] types of prisim.",Y,Q4-C11-Re-Wr,DP,,,,NI
29,2.0,14.0,"And put [that] to the right of the, the arches. Yes.",Y,Q3-C21-Ye-Wr,N,,,,dobj
30,,,,,,,,,,
31,2.0,14.0,"And put that to the right of the, [the arches]. Yes.",Y,"Q4-C12-Gr-Ar, Q3-C11-Gr-Ar",DS,,,,NI
32,2.0,15.0,"And then [one the red ones], I think that size to the right of the yellow piece.",Y,Q4-C31-Re-Tr,DP,,,,NI
33,2.0,,,,,,,,,
34,2.0,15.0,"And then one of the red one, I think that size to the right of the [yellow piece].",Y,Q3-C21-Ye-Wr,DS,,,,NI
35,2.0,16.0,And find [a yellow piece] that looks the same as the red prism. OQ,Y,Q3-C21-Ye-Wr,N,,,,dobj
36,2.0,16.0,And find a yellow piece that looks the same as [the red prism]. OQ,Y,Q4-C13-Re-Tr,DS,,Is that awide rectangle?,Q1-C13-Ye-Wr,pobj
37,2.0,17.0,"Yeah. We just have random, a bunch of hats and decorations.",N,,,,,,
38,2.0,18.0,"So, [a red], green.",Y,New-Re,,,,,NI
39,2.0,18.0,"So, a red, [green].",Y,Q1-C33-Gr-Cu,,,,,NI
40,2.0,19.0,"And find a [second red] {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y,New-Re-St,N,,,,N
41,2.0,19.0,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y, ,A,,,,NI
42,2.0,19.0,"And find a second red {I gestures to obj} and [blue] {I gestures to obj}, one of the triangles",Y,New-Bl-St,N,,,,NI
43,2.0,19.0,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y,Q4-C31-Gr-St,DS,,,,NI
44,2.0,19.0,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of [the triangles]",Y,"Q4-C31-Gr-St, Q4-C32-Re-St",DL,,Ambigous DL vs DS,,pobj
45,2.0,20.0, ,N,,,,,,
