,Quadrant,Utterance Number,Reference,Unnamed: 3,Object referenced,Gesture Used,grammatical role
0,2.0,1.0,Okay. We're going to need a [second green] {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q1-C33-Gr-Cu,N,False
1,2.0,1.0,Okay. We're going to need a second green {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q4-C11-Gr-Cu,DS,input manually
2,2.0,1.0,Okay. We're going to need a second green {I gestures to obj} and a [second yellow cube] {I gestures to obj}.,Y,Q2-C12-Ye-Cu,N,False
3,2.0,1.0,Okay. We're going to need a second green {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q4-C33-Ye-Cu,DP,input manually
4,2.0,2.0,And then also it blue longer rectangle [piece]. The same thickness.,Y,New-Bl-Tr,IR ,False
5,2.0,3.0,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C32-Bl-Wr,N,input manually
6,2.0,3.0,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C31-Bl-Tr,N,input manually
7,2.0,3.0,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C32-Bl-Wr,DP,input manually
8,2.0,4.0,Start with [the blue piece] right there.,Y,Q2-C32-Bl-Wr,DS,pobj
9,2.0,5.0,Then [green cube] next to it to the right.,Y,Q1-C33-Gr-Cu,DP,False
10,2.0,5.0,Then green cube next to [it] to the right.,Y,Q2-C32-Bl-Wr,N ,pobj
11,2.0,6.0,And [yellow cube] next to that.,Y,Q2-C12-Ye-Cu,DP,False
12,2.0,6.0,And yellow cube next to [that].,Y,Q1-C33-Gr-Cu,A,pobj
13,2.0,7.0,"And then, [a red thing] {L points to obj}, the longer .... Yeah. On top of the blue.",Y,Q4-C11-Re-Wr,"IR, DP",False
14,2.0,7.0,"And then, a red thing {L points to obj}, the longer ... Yeah. On top of the blue.",Y,Q4-C12-Re-Tr,N,input manually
15,2.0,7.0,"And then, a red thing {L points to obj}, the longer ... Yeah. On top of [the blue].",Y,Q2-C32-Bl-Wr,"IR, DS",False
16,2.0,8.0,And then [another green] on top of the green.,Y,Q4-C11-Gr-Cu,A,False
17,2.0,8.0,And then another green on top of [the green].,Y,Q1-C33-Gr-Cu,A,pobj
18,2.0,9.0,And [another yellow] on top of the yellow.,Y,Q4-C33-Ye-Cu,A,False
19,2.0,9.0,And another yellow on top of [the yellow].,Y,Q2-C12-Ye-Cu,A,False
20,2.0,10.0,"And then on the right of [these], stack  [point to obj]. Yeah. Perfectly like this.",Y,"Q4-C11-Re-Wr, Q2-C32-Bl-Wr, Q4-C11-Gr-Cu, Q1-C33-Gr-Cu, Q4-C33-Ye-Cu, Q2-C12-Ye-Cu",DL,pobj
21,2.0,10.0,"And then on the right of these, stack [point to obj]. Yeah. Perfectly like this.",Y,Q4-C23-Gr-Tr,DP,dobj
22,,,,,,,input manually
23,2.0,11.0,Try to find another [green arch]  [point to obj],Y,Q3-C11-Gr-Ar,N,False
24,2.0,11.0,Try to find another green arch [point to obj].,Y,Q4-C12-Gr-Ar,DS,False
25,2.0,12.0,"And on top of [the red], make the circle. Yeah.",Y,Q4-C11-Re-Wr,DS,False
26,2.0,12.0,"And on top of the red, make [the circle]. Yeah.",N,,,dobj
27,2.0,13.0,"I need [another yellow], like one of these types of prisim.",Y,Q3-C21-Ye-Wr,IR,False
28,2.0,13.0,"I need another yellow, like one of [these] types of prisim.",Y,Q4-C11-Re-Wr,DP,False
29,2.0,14.0,"And put [that] to the right of the, the arches. Yes.",Y,Q3-C21-Ye-Wr,N,dobj
30,,,,,,,input manually
31,2.0,14.0,"And put that to the right of the, [the arches]. Yes.",Y,"Q4-C12-Gr-Ar, Q3-C11-Gr-Ar",DS,False
32,2.0,15.0,"And then [one the red ones], I think that size to the right of the yellow piece.",Y,Q4-C31-Re-Tr,DP,False
33,2.0,,,,,,input manually
34,2.0,15.0,"And then one of the red one, I think that size to the right of the [yellow piece].",Y,Q3-C21-Ye-Wr,DS,False
35,2.0,16.0,And find [a yellow piece] that looks the same as the red prism. OQ,Y,Q3-C21-Ye-Wr,N,dobj
36,2.0,16.0,And find a yellow piece that looks the same as [the red prism]. OQ,Y,Q4-C13-Re-Tr,DS,pobj
37,2.0,17.0,"Yeah. We just have random, a bunch of hats and decorations.",N,,,input manually
38,2.0,18.0,"So, [a red], green.",Y,New-Re,,False
39,2.0,18.0,"So, a red, [green].",Y,Q1-C33-Gr-Cu ,,False
40,2.0,19.0,"And find a [second red] {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y,New-Re-St,N,False
41,2.0,19.0,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y, ,A,input manually
42,2.0,19.0,"And find a second red {I gestures to obj} and [blue] {I gestures to obj}, one of the triangles",Y,New-Bl-St,N,False
43,2.0,19.0,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y,Q4-C31-Gr-St,DS,input manually
44,2.0,19.0,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of [the triangles]",Y,"Q4-C31-Gr-St, Q4-C32-Re-St",DL,pobj
45,2.0,20.0, ,N,,,input manually
46,2.0,20.0,So exactly like this setup on top of [them] from left to right.,Y,"Q4-C12-Gr-Ar, Q3-C11-Gr-Ar,  Q1-C13-Ye-Wr, Q4-C31-Re-Tr, Q3-C21-Ye-Wr",DS,pobj
47,,,,,,,input manually
48,2.0,21.0,"It's going to be [a red one], a blue one, and a green one. And on this piece a red one.",Y,Q3-C12-Re-Ts,N,False
49,2.0,21.0,"It's going to be a red one, [a blue one], and a green one. And on this piece a red one.",Y,Q2-C11-Bl-Ts,N,False
50,2.0,21.0,"It's going to be a red one, a blue one, and [a green one]. And on this piece a red one.",Y,Q4-C31-Gr-Ts,N,False
51,2.0,21.0,"It's going to be a red one, a blue one, and a green one. And on [this piece] a red one.",Y,"Q4-C23-Gr-Rl, Q4-C21-Gr-Rl",N,pobj
52,2.0,21.0,"It's going to be a red one, a blue one, and a green one. And on this piece [a red one].",Y,Q4-C32-Re-Ts,N,False
53,2.0,22.0,And the final thing is to put [this cylinder] inside of the circle.,Y,Q3-C21-Bl-Cy,DP,dobj
54,2.0,22.0,And the final thing is to put this cylinder inside of [the circle].,N,,N,pobj
55,2.0,23.0,That's it.,N,,,input manually
56,,,,,,,input manually
57,3.0,1.0,Its going to be [a tall one.],Y,New,N,False
58,3.0,2.0,"[The yellow], bring the yellow prism and green priss.",Y,New-Ye,N,False
59,3.0,2.0,"The yellow, bring [the yellow prism] and green priss.",Y,Q4-C21-Ye-Pr ,IR,dobj
60,3.0,2.0,"The yellow, bring the yellow prism and [green priss.]",Y,Q2-C21-Gr-Pr,IR,conj
61,3.0,3.0,And also [a red prism.],Y,New-Re-Pr,N,False
62,3.0,4.0,"Perfect. You need a [red, small triangle], like the hats we used before. ",Y,New-Re-Ts,IR,False
63,3.0,4.0,"Perfect. You need a red, small triangle, like [the hats] we used before.",Y,"Q4-C31-Gr-Ts, Q4-C32-Re-Ts,Q2-C11-Bl-Ts, Q3-C12-Re-Ts ",A,pobj
64,3.0,5.0,[A yellow cube]. ,Y,Q2-C12-Ye-Cu ,N,ROOT
65,3.0,6.0,And [a blue cylinder]. ,Y,New-Bl-Cy,N,False
66,3.0,7.0,I think that should be it,,,,input manually
