Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role,Unnamed: 6
2.0,1.0," So we're going to need to start with, we need [a blue]. {points}",N,New-Bl-Pr,NI,
2.0,1.0," So we're going to need to start with, we need [a blue]. {points}",N,Q4-C11-Re-Pr,NI,
2.0,2.0,"Gosh, I mean [a blue one of those].{keeps pointing}",N,Q2-C32-Bl-Pr,NI,
2.0,2.0,"Gosh, I mean [a blue one of those].{keeps pointing}",N,Q4-C11-Re-Pr,NI,
2.0,3.0,"I don't see [one] here, but yeah, we need [one that's blue, That's rectangular.]",N,Q2-C32-Bl-Pr,NI,
2.0,3.0,"I don't see [one] here, but yeah, we need [one that's blue, That's rectangular.]",N,Q4-C11-Re-Pr,nsubj,
2.0,4.0,Okay. So [that one]'s going to sit like that. Yeah.,N,Q2-C32-Bl-Pr,NI,
2.0,5.0,"And then we need [a green cube], that'll sit next to [it], right there. ",N,Q4-C11-Gr-Cu,dobj, 
2.0,5.0,"And then we need [a green cube], that'll sit next to [it], right there. ",N,Q2-C32-Bl-Pr,pobj,
2.0,6.0,Yeah. Like that.,N,,,
2.0,7.0,And then we need [a yellow cube]. ,N,Q4-C33-Ye-Cu,dobj,
2.0,8.0,There's [one] right here.,N,Q4-C33-Ye-Cu,NI,
2.0,9.0,"And we need a... yeah, [two green, long ones] like [those]. ",N,Q4-C21-Gr-Rl,NI,
2.0,9.0,"And we need a... yeah, [two green, long ones] like [those]. ",N,Q4-C23-Gr-Rl,NI,
2.0,9.0,"And we need a... yeah, [two green, long ones] like [those]. ",N,Q4-C21-Gr-Rl,pobj,
2.0,9.0,"And we need a... yeah, [two green, long ones] like [those]. ",N,Q4-C23-Gr-Rl,pobj,
2.0,10.0,[They]'ll sit like this.,N,Q4-C21-Gr-Rl,nsubj,
2.0,10.0,[They]'ll sit like this.,N,Q4-C23-Gr-Rl,nsubj,
2.0,11.0,Okay. And then we need [that red one] that will sit on top of [the blue one].,N,Q4-C11-Re-Pr,NI,
2.0,11.0,Okay. And then we need [that red one] that will sit on top of [the blue one].,N,Q2-C32-Bl-Pr,NI,
2.0,12.0,And then [another green cube].,N,New-Gr-Cu,NI,
2.0,13.0,I don't think we have [one] here. ,N,Q1-C31-Gr-Cu,NI,
2.0,14.0,Gosh. I knocked over a couple of things.,N,,,
2.0,15.0,I want to get closer but then I bumped my knee on the crossbeam,N,,,
,,,N,,,
3.0,1.0,"So we're going to need, ",N,,,
3.0,2.0,"I don't see [one] here, but we need [a yellow rectangular prism]. ",N,New-Ye-Pr,NI,
3.0,2.0,"I don't see [one] here, but we need [a yellow rectangular prism]. ",N,Q2-C33-Ye-Pr,dobj,
3.0,3.0,I don't see [one] here.,N,Q2-C33-Ye-Pr,NI,
3.0,4.0,"Okay, cool. So then [that] will set up on end like that",N,Q2-C33-Ye-Pr,pobj,
3.0,5.0,"And next to [it], we're going to have [this green].",N,Q2-C33-Ye-Pr,pobj,
3.0,5.0,"And next to [it], we're going to have [this green].",N,Q3-C32-Gr-Rl,dobj,
3.0,6.0,"And then [that one, that red one] will sit on top of it.",N,Q3-C12-Re-Rl,NI,
3.0,7.0,"Let me need a [green rectangular prism, kind of like [that one], but green.]",N,New-Gr-Pr,NI,
3.0,7.0,"Let me need a [green rectangular prism, kind of like [that one], but green.]",N,Q2-C33-Ye-Pr,NI,
3.0,8.0,[That] will sit like that but up against there.,N,Q2-C21-Gr-Pr,nsubj,
3.0,9.0,The we need to use [this green cylinder],N,Q3-C33-Gr-Cy,dobj,
3.0,10.0,"that will set [it] next to there, standing up on end.",N,Q3-C33-Gr-Cy,dobj,
3.0,11.0,"Then, you need to use [this red cube] and [that red cube].",N,Q3-C32-Re-Cu,dobj,
3.0,11.0,"Then, you need to use [this red cube] and [that red cube].",N,Q3-C23-Re-Cu,conj,
3.0,12.0,And then [it] will go on top of there. ,N,Q3-C23-Re-Cu,nsubj,
3.0,12.0,And then [it] will go on top of there. ,N,Q3-C32-Re-Cu,nsubj,
3.0,13.0,Yeah.,N,,,
3.0,14.0,"And then you need [a blue, a blue, one of [those]]. ",N,New-Bl-Pr,NI,
3.0,14.0,"And then you need [a blue, a blue, one of [those]]. ",N,Q2-C33-Ye-Pr,NI,
3.0,15.0,Well actually wait now.,N,,NI,
