Quadrant,Utterance Number,Reference,,Object referenced,Gesture Used,grammatical role
2,1,Okay. We're going to need a [second green] {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q1-C33-Gr-Cu,N,NI
2,1,Okay. We're going to need a second green {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q4-C11-Gr-Cu,DS,NI
2,1,Okay. We're going to need a second green {I gestures to obj} and a [second yellow cube] {I gestures to obj}.,Y,Q2-C12-Ye-Cu,N,NI
2,1,Okay. We're going to need a second green {I gestures to obj} and a second yellow cube {I gestures to obj}.,Y,Q4-C33-Ye-Cu,DP,NI
2,2,And then also it blue longer rectangle [piece]. The same thickness.,Y,New-Bl-Tr,IR ,NI
2,3,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C32-Bl-Wr,N,NI
2,3,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C31-Bl-Tr,N,NI
2,3,"{L presents obj 1 and obj 2} Yeah, that .",Y,Q2-C32-Bl-Wr,DP,NI
2,4,Start with [the blue piece] right there.,Y,Q2-C32-Bl-Wr,DS,pobj
2,5,Then [green cube] next to it to the right.,Y,Q1-C33-Gr-Cu,DP,NI
2,5,Then green cube next to [it] to the right.,Y,Q2-C32-Bl-Wr,N ,pobj
2,6,And [yellow cube] next to that.,Y,Q2-C12-Ye-Cu,DP,NI
2,6,And yellow cube next to [that].,Y,Q1-C33-Gr-Cu,A,pobj
2,7,"And then, [a red thing] {L points to obj}, the longer .... Yeah. On top of the blue.",Y,Q4-C11-Re-Wr,"IR, DP",NI
2,7,"And then, a red thing {L points to obj}, the longer ... Yeah. On top of the blue.",Y,Q4-C12-Re-Tr,N,NI
2,7,"And then, a red thing {L points to obj}, the longer ... Yeah. On top of [the blue].",Y,Q2-C32-Bl-Wr,"IR, DS",NI
2,8,And then [another green] on top of the green.,Y,Q4-C11-Gr-Cu,A,NI
2,8,And then another green on top of [the green].,Y,Q1-C33-Gr-Cu,A,pobj
2,9,And [another yellow] on top of the yellow.,Y,Q4-C33-Ye-Cu,A,NI
2,9,And another yellow on top of [the yellow].,Y,Q2-C12-Ye-Cu,A,NI
