Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
2,1,Take [this yellow cube].,DP,Q4-C22-Ye-Cu,dobj
2,2,And just move [it] to the center.,N,Q4-C22-Ye-Cu,dobj
2,3,And then take [this yellow cube].,DS,Q4-C21-Ye-Cu,dobj
2,4,And stack [it] on top.,N,Q4-C21-Ye-Cu,dobj
2,5,Take [this green cube].,DP,Q4-C32-Gr-Cu,dobj
2,6,And put [it] to the left.,N,Q4-C32-Gr-Cu,dobj
2,7,And now take [that other green cube].,DS,Q4-C11-Gr-Cu,dobj
2,8,And stack [it] on top.,N,Q4-C11-Gr-Cu,dobj
2,9,"Now, take [this green rectangle].",DS,Q4-C31-Gr-Rl,dobj
2,10,And put [it] to the right of [the yellow cubes].,N,Q4-C31-Gr-Rl,dobj
2,10,And put [it] to the right of [the yellow cubes].,DS,"Q4-C21-Ye-Cu, Q4-C22-Ye-Cu",pobj
2,11,And then can you go to a different quadrant and find [an identical green rectangle] {gestures}?,N,New-Gr-Rl,dobj
2,11,And then can you go to a different quadrant and find [an identical green rectangle] {gestures}?,DS,Q4-C31-Gr-Rl,NI
2,12,And can you put [it] right up against [that first one]?,N,Q1-C31-Gr-Rl,dobj
2,12,And can you put [it] right up against [that first one]?,DS,Q4-C31-Gr-Rl,NI
2,13,"Can you go to a different quadrant and find, like, {gestures} [a cubic rectangle, but blue].",DP,Q4-C33-Re-Pr,NI
2,13,"Can you go to a different quadrant and find, like, {gestures} [a cubic rectangle, but blue].",N,New-Bl-Pr,dobj
2,14,"And then put [it] to the left of [the green, long ways].",N,Q3-C12-Bl-Pr,dobj
2,14,"And then put [it] to the left of [the green, long ways].",N,"Q4-C11-Gr-Cu, Q4-C32-Gr-Cu",pobj
2,15,And then take [this red rectangle]. And stack it on top of [the blue].,DS,Q4-C13-Re-Pr,dobj
2,15,And then take [this red rectangle]. And stack it on top of [the blue].,,Q3-C12-Bl-Pr,NI
,,,,,
3,1,Ok. Can you move [those two blocks] out of the way?,DS,"Q3-C22-Ye-Cu, Q3-C22-Gr-Pr",dobj
3,2,"So can you go find [[that block], but in green]? [One of the longer rectangles].",DS,Q3-C12-Re-Rl,NI
3,2,"So can you go find [[that block], but in green]? [One of the longer rectangles].",N,New-Gr-Rl,NI
3,2,"So can you go find [[that block], but in green]? [One of the longer rectangles].",N,Q3-C12-Re-Rl,NI
3,3,And then just put [it] flat.,N,Q2-C23-Gr-Rl,dobj
3,4,And then take [the red rectangle] and put [it] flat on top.,DS,Q3-C12-Re-Rl,dobj
3,4,And then take [the red rectangle] and put [it] flat on top.,DS,Q3-C12-Re-Rl,dobj
3,5,Now take [the green rectangle].,DS,Q3-C22-Gr-Pr,dobj
3,6,And put [it] as far to the left length flat on top of [the red]. Yeah.,N,Q3-C22-Gr-Pr,dobj
3,6,And put [it] as far to the left length flat on top of [the red]. Yeah.,DS,Q3-C12-Re-Rl,NI
3,7,Now. Can you find [[this green block] in yellow]?,DS,New-Ye-Pr,NI
3,7,Now. Can you find [[this green block] in yellow]?,N,Q3-C22-Gr-Pr,NI
3,8,"And put [it] up right on the left side, on the ground. Yeah.",N,Q1-C12-Ye-Pr,dobj
3,9,Now take [one of these blue cubes].,DS,Q3-C31-Bl-Cu,pobj
3,10,And put [it] on top of [the yellow cube]?,N,Q3-C31-Bl-Cu,dobj
3,10,And put [it] on top of [the yellow cube]?,N,Q1-C12-Ye-Pr,pobj
3,11,And take [the second blue cube].,DS,Q3-C13-Bl-Cu,dobj
3,12,And put [that] on top of [the first blue cube]?,N,Q3-C13-Bl-Cu,dobj
3,12,And put [that] on top of [the first blue cube]?,DS,Q3-C31-Bl-Cu,pobj
3,13,And now take [a red cube].,DP,Q3-C32-Re-Cu,dobj
3,14,"And put [it] on, touching [the blue] and [green].",N,Q3-C21-Re-Cu,dobj
3,14,"And put [it] on, touching [the blue] and [green].",DS,Q3-C13-Bl-Cu,NI
3,14,"And put [it] on, touching [the blue] and [green].",DS,Q3-C22-Gr-Pr,NI
3,15,And now take [this second red cube].,DP,Q3-C32-Re-Cu,dobj
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"So, look for that piece.",,,,,
Okay. And then two more pieces.,,,,,
"One of them is a red triangle piece, but it's... it has the same shape as the cube.",,,,,
It's red and triangle.,,,,,
So look for that piece.,,,,,
19:38,,,,,
"Red triangle, it's going to be like, if you cut the square in half diagonally, it's going to be that shape.",,,,,
"Oh, that's right.",,,,,
"Okay. And then that's going to stack with the diagonal side, going towards the right of the whole thing, like this way. Yeah.",,,,,
"And on the very top of it, is going to be a blue cylinder like this.",,,,,
So look for that piece.,,,,,
And then that goes on top of the two red rectangles.,,,,,
Okay. That's right. But I'll just double check. Okay. We're finished with this one.,,,,,
20:57,,,,,
"Okay. So this one, I would start with the long rectangle blue piece",,,,,
And you'll find a long rectangle blue piece.,,,,,
"Actually, no, find two of them.",,,,,
Cause you need one of them for the most part.,,,,,
