Quadrant,Utterance,object,Unnamed: 5,Bound to,Current Status
2.0,1.0,New-Bl-Pr,,Q2-C32-Bl-Pr in U3,IF
2.0,2.0,,,,
2.0,3.0,,,,
2.0,4.0,Q2-C32-Bl-Pr,,,A
2.0,4.0,Q4-C11-Gr-Cu,,,IF
2.0,5.0,,,,
2.0,6.0,Q4-C33-Ye-Cu,,,A
2.0,6.0,Q4-C11-Gr-Cu,,,A
2.0,7.0,New-Gr-Cu,,Q1-C33-Gr-Cu in U11,A
2.0,7.0,New-Ye-Cu,,Q2-C12-Ye-Cu in U11,A
2.0,8.0,Q2-C32-Bl-Pr,,,F
2.0,9.0,,,,
2.0,10.0,,,,
2.0,11.0,,,,
2.0,12.0,Q4-C21-Gr-Rl,,,A
2.0,12.0,Q4-C23-Gr-Rl,,,A
2.0,13.0,,,,
2.0,14.0,Q1-C33-Gr-Cu,,,F
2.0,14.0,Q2-C12-Ye-Cu,,,F
2.0,14.0,Q2-C32-Bl-Pr,,,A
2.0,14.0,Q4-C33-Ye-Cu,,,F
2.0,14.0,Q4-C11-Gr-Cu,,,F
2.0,14.0,New-Re-Pr,,Q4-C11-Re-Pr in U15,IF
2.0,15.0,,,,
,,,,,
3.0,1.0,,,,
