Quadrant,Utterance,object,Notes,Bound to,Current Status
2.0,1.0,New-Bl-Pr,,Q2-C32-Bl-Pr on 2-2,IF
2.0,2.0,,,,
2.0,3.0,Q4-C11-Gr-Cu,,,IF
2.0,3.0,Q2-C32-Bl-Pr,,,A
2.0,4.0,,,,
2.0,5.0,Q4-C11-Gr-Cu,,,A
2.0,6.0,Q4-C33-Ye-Cu,,,IF
2.0,7.0,,,,
2.0,8.0,Q4-C11-Re-Pr,,,IF
2.0,8.0,Q4-C33-Ye-Cu,,,A
2.0,9.0,,,,
2.0,10.0,New-Gr-Cu,,Q1-C33-Gr-Cu in 2-11,IF
2.0,10.0,Q4-C11-Re-Pr,,,A
2.0,10.0,Q4-C33-Ye-Cu,,,F
2.0,11.0,Q2-C32-Bl-Pr,,,F
2.0,12.0,New-Ye-Cu,,Q2-C13-Ye-Cu in 2-13,IF
2.0,12.0,Q1-C33-Gr-Cu,,,A
2.0,12.0,Q4-C11-Re-Pr,,,F
2.0,13.0,Q4-C33-Ye-Cu,,,A
2.0,13.0,Q4-C11-Gr-Cu,,,F
2.0,14.0,Q4-C12-Gr-Ar,,,IF
2.0,14.0,Q2-C13-Ye-Cu,,,A
2.0,15.0,Q4-C11-Re-Pr,,,A
,,,,,
3.0,1.0,Q3-C32-Gr-Rl,,,IF
3.0,2.0,,,,
3.0,3.0,,,,
3.0,4.0,Q3-C31-Re-Rl,,,IF
3.0,4.0,Q3-C32-Gr-Rl,,,A
3.0,5.0,,,,
3.0,6.0,Q3-C33-Gr-Cy,,,IF
3.0,6.0,Q3-C31-Re-Rl,,,A
3.0,7.0,,,,
3.0,8.0,New-Ye-Pr,,Q2-C23-Ye-Pr in 3-9,IF
3.0,8.0,Q3-C33-Gr-Cy,,,A
3.0,8.0,Q3-C32-Re-Cu,,,A
3.0,9.0,Q3-C32-Re-Cu,,,F
3.0,10.0,,,,
3.0,11.0,New-Gr-Pr,,Q2-C21-Gr-Pr in 3-12,IF
3.0,11.0,Q2-C23-Ye-Pr,,,A
3.0,13.0,Q2-C21-Gr-Pr,,,A
3.0,14.0,Q3-C32-Re-Cu,,,IF
3.0,15.0,,,,
