Quadrant,Utterance,object,Bound to,Current Status
2.0,1.0,Q4-C22-Ye-Cu,,IF
2.0,2.0,,,
2.0,3.0,Q4-C21-Ye-Cu,,IF
2.0,3.0,Q4-C22-Ye-Cu,,A
2.0,4.0,,,
2.0,5.0,Q4-C32-Gr-Cu,,IF
2.0,5.0,Q4-C21-Ye-Cu,,A
2.0,6.0,,,
2.0,7.0,Q4-C11-Gr-Cu,,IF
2.0,7.0,Q4-C32-Gr-Cu,,A
2.0,8.0,,,
2.0,9.0,Q4-C31-Gr-Rl,,IF
2.0,9.0,Q4-C11-Gr-Cu,,A
2.0,9.0,Q4-C21-Ye-Cu,,F
2.0,9.0,Q4-C21-Ye-Cu,,F
2.0,10.0,Q4-C21-Ye-Cu,,A
2.0,10.0,Q4-C21-Ye-Cu,,A
2.0,11.0,New-Gr-Rl,Q1-C31-Gr-Rl in 2-12,IF
2.0,11.0,Q4-C31-Gr-Rl,,A
2.0,12.0,Q4-C32-Gr-Cu,,F
2.0,12.0,Q4-C11-Gr-Cu,,F
2.0,12.0,Q4-C21-Ye-Cu,,F
2.0,12.0,Q4-C21-Ye-Cu,,F
2.0,13.0,Q4-C33-Re-Pr,,A
2.0,13.0,New-Bl-Pr,Q3-C12-Bl-Pr in 2-14,IF
2.0,13.0,Q1-C31-Gr-Rl,,A
2.0,14.0,Q4-C11-Gr-Cu,,A
2.0,14.0,Q4-C32-Gr-Cu,,A
2.0,14.0,Q4-C31-Gr-Rl,,F
2.0,14.0,Q1-C31-Gr-Rl,,F
2.0,15.0,Q4-C13-Re-Pr,,IF
2.0,15.0,Q3-C12-Bl-Pr,,A
,,,,
3.0,1.0,Q3-C22-Ye-Cu,,A
3.0,1.0,Q3-C22-Gr-Pr,,A
3.0,2.0,Q3-C22-Ye-Cu,,F
3.0,2.0,Q3-C22-Gr-Pr,,F
3.0,2.0,Q3-C12-Re-Rl,,A
3.0,2.0,New-Gr-Rl,Q2-C23-Gr-Rl in 3-3,IF
3.0,3.0,,,
3.0,4.0,Q3-C12-Re-Rl,,IF
3.0,4.0,Q2-C23-Gr-Rl,,A
3.0,5.0,Q3-C22-Gr-Pr,,IF
3.0,5.0,Q3-C12-Re-Rl,,A
3.0,6.0,,,
3.0,7.0,Q2-C23-Gr-Rl,,F
3.0,7.0,Q3-C22-Gr-Pr,,A
3.0,7.0,New-Ye-Pr,Q1-C12-Ye-Pr in 3-8,IF
3.0,8.0,Q3-C22-Gr-Pr,,F
3.0,8.0,Q3-C12-Re-Rl,,F
3.0,9.0,Q3-C31-Bl-Cu,,IF
3.0,9.0,Q1-C12-Ye-Pr,,A
3.0,10.0,,,
3.0,11.0,Q3-C13-Bl-Cu,,IF
3.0,11.0,Q3-C31-Bl-Cu,,A
3.0,12.0,Q1-C12-Ye-Pr,,F
3.0,13.0,Q3-C32-Re-Cu,,IF
3.0,14.0,Q3-C13-Bl-Cu,,A
3.0,14.0,Q3-C22-Gr-Pr,,A
3.0,14.0,Q3-C32-Re-Cu,,
3.0,14.0,Q3-C21-Re-Cu,,IF
3.0,15.0,Q3-C32-Re-Cu,,IF
3.0,,,,
3.0,,,,
