Quadrant,Utterance,object,in,out,Unnamed: 5,Bound to
2.0,1.0,Q2-C32-Bl-Pr,"A,IF",,,Q2-C32-Bl-Pr in U3
2.0,2.0,,,,,
2.0,3.0,,,,,
2.0,4.0,Q2-C32-Bl-Pr,,IF,,
2.0,4.0,Q4-C11-Gr-Cu,"A,IF",,,
2.0,5.0,,,,,
2.0,6.0,Q4-C33-Ye-Cu,A,,,
2.0,6.0,Q4-C11-Gr-Cu,,IF,,
2.0,7.0,Q1-C33-Gr-Cu,A,,,Q1-C33-Gr-Cu in U11
2.0,7.0,Q2-C12-Ye-Cu,A,,,Q2-C12-Ye-Cu in U11
2.0,8.0,Q2-C32-Bl-Pr,,A,,
2.0,9.0,,,,,
2.0,10.0,,,,,
2.0,11.0,,,,,
2.0,12.0,Q4-C21-Gr-Rl,A,,,
2.0,12.0,Q4-C23-Gr-Rl,A,,,
2.0,13.0,,,,,
2.0,14.0,Q1-C33-Gr-Cu,,A,,
2.0,14.0,Q2-C12-Ye-Cu,,A,,
2.0,14.0,Q2-C32-Bl-Pr,A,,,
2.0,14.0,Q4-C33-Ye-Cu,,A,,
2.0,14.0,Q4-C11-Gr-Cu,,A,,
2.0,14.0,Q4-C11-Re-Pr,"A,IF",,,Q4-C11-Re-Pr in U15
2.0,15.0,,,,,
,,,,,,
3.0,1.0,,,,,
