Quadrant,Utterance,object,in,out,Notes,Bound to
2.0,1.0,Q2-C32-Bl-Pr,"A,IF",,,Q2-C32-Bl-Pr on 2-2
2.0,2.0,,,,,
2.0,3.0,Q4-C11-Gr-Cu,"A,IF",,,
2.0,3.0,Q2-C32-Bl-Pr,,IF,,
2.0,4.0,,,,,
2.0,5.0,Q4-C11-Gr-Cu,,IF,,
2.0,6.0,Q4-C33-Ye-Cu,"A,IF",,,
2.0,7.0,,,,,
2.0,8.0,Q4-C11-Re-Pr,"A,IF",,,
2.0,8.0,Q4-C33-Ye-Cu,,IF,,
2.0,9.0,,,,,
2.0,10.0,Q1-C33-Gr-Cu,"A,IF",,,Q1-C33-Gr-Cu in 2-11
2.0,10.0,Q4-C11-Re-Pr,,IF,,
2.0,10.0,Q4-C33-Ye-Cu,,A,,
2.0,11.0,Q2-C32-Bl-Pr,,A,,
2.0,12.0,Q2-C13-Ye-Cu,"A,IF",,,Q2-C13-Ye-Cu in 2-13
2.0,12.0,Q1-C33-Gr-Cu,,IF,,
2.0,12.0,Q4-C11-Re-Pr,,A,,
2.0,13.0,Q4-C33-Ye-Cu,A,,,
2.0,13.0,Q4-C11-Gr-Cu,,A,,
2.0,14.0,Q4-C12-Gr-Ar,"A,IF",,,
2.0,14.0,Q2-C13-Ye-Cu,,IF,,
2.0,15.0,Q4-C11-Re-Pr,A,,,
,,,,,,
3.0,1.0,Q3-C32-Gr-Rl,"A,IF",,,
3.0,2.0,,,,,
3.0,3.0,,,,,
3.0,4.0,Q3-C31-Re-Rl,"A,IF",,,
3.0,4.0,Q3-C32-Gr-Rl,,IF,,
3.0,5.0,,,,,
3.0,6.0,Q3-C33-Gr-Cy,"A,IF",,,
3.0,6.0,Q3-C31-Re-Rl,,IF,,
3.0,7.0,,,,,
3.0,8.0,Q2-C23-Ye-Pr,"A,IF",,,Q2-C23-Ye-Pr in 3-9
3.0,8.0,Q3-C33-Gr-Cy,,IF,,
3.0,8.0,Q3-C32-Re-Cu,A,,,
3.0,9.0,Q3-C32-Re-Cu,,A,,
3.0,10.0,,,,,
3.0,11.0,Q2-C21-Gr-Pr,"A,IF",,,Q2-C21-Gr-Pr in 3-12
3.0,11.0,Q2-C23-Ye-Pr,,IF,,
3.0,13.0,Q2-C21-Gr-Pr,,IF,,
3.0,14.0,Q3-C32-Re-Cu,"A,IF",,,
3.0,15.0,,,,,
