Quadrant,Utterance,object,in,out,Bound to,Notes
2.0,1.0,Q2-C32-Bl-Pr,"A,IF",,Q2-C32-Bl-Pr in 2-8,
2.0,2.0,Q4-C13-Re-Rs,A,,,
2.0,2.0,Q2-C32-Bl-Pr,,IF,Q2-C32-Bl-Pr in 2-8,
2.0,2.0,New-Re-Pr,"A,IF",,,
2.0,3.0,Q2-C32-Bl-Pr,IF,,Q2-C32-Bl-Pr in 2-8,
2.0,3.0,Q4-C11-Re-Pr,A,,,
2.0,3.0,New-Re-Pr,,"A,IF",,
2.0,3.0,Q4-C13-Re-Rs,,A,,
2.0,4.0,,,,,
2.0,5.0,Q3-C11-Gr-Ar,A,,Q3-C11-Gr-Ar in 2-8,
2.0,5.0,Q4-C12-Gr-Ar,A,,Q4-C12-Gr-Ar,
2.0,5.0,Q4-C12-Gr-Ar,A,,,"The arch itself is not activated here, but rather a representation of the arch"
2.0,5.0,Q2-C32-Bl-Cy,A,,Q2-C32-Bl-Cy in 2-8,
2.0,5.0,Q2-C32-Bl-Pr,,IF,Q2-C32-Bl-Pr in 2-8,
2.0,5.0,Q4-C11-Re-Pr,,A,,
2.0,6.0,Q4-C11-Gr-Cu,A,,Q4-C11-Gr-Cu in 2-7,
2.0,6.0,New-Gr-Cu2,A,,,
2.0,6.0,Q2-C32-Bl-Pr,,A,Q2-C32-Bl-Pr in 2-8,
2.0,7.0,Q4-C11-Gr-Cu,A,,,"The cube itself is not activated here, but rather a representation of the cube"
2.0,8.0,,,,,
2.0,9.0,Q4-C11-Gr-Cu,IF,,,
2.0,10.0,New-Gr-Cu2,IF,,,
2.0,10.0,Q4-C11-Gr-Cu,,IF,,
2.0,11.0,Q4-C33-Ye-Cu,A,,,
2.0,11.0,New-Ye-Cu,A,,,
2.0,11.0,Q4-C11-Re-Pr,A,,,
2.0,11.0,New-Gr-Cu2,,IF,,
2.0,11.0,Q4-C12-Gr-Ar,,A,Q4-C12-Gr-Ar,
2.0,11.0,Q2-C32-Bl-Cy,,A,,
2.0,12.0,New-Gr-Rl,A,,,
2.0,12.0,Q4-C32-Gr-Rl,A,,,
2.0,13.0,Q4-C32-Gr-Rl,,A,,
2.0,13.0,Q4-C11-Re-Pr,,A,,
2.0,13.0,Q4-C33-Ye-Cu,,A,,
2.0,13.0,Q4-C11-Gr-Cu,,A,,
2.0,14.0,Q4-C32-Gr-Rl,A,,,
2.0,14.0,Q3-C33-Gr-Rl,A,,,
2.0,14.0,Q2-C13-Ye-Cu,A,,,
2.0,15.0,Q3-C11-Gr-Ar,A,,,
2.0,15.0,Q4-C12-Gr-Ar,A,,,
,,,,,,
3.0,1.0,Q2-C23-Ye-Pr,"A,IF",,Q2-C23-Ye-Pr in 7,
3.0,2.0,Q1-C11-Gr-Rl,A,,Q1-C11-Gr-Rl in 7,
3.0,2.0,Q2-C23-Ye-Pr,,IF,Q2-C23-Ye-Pr in 7,
3.0,2.0,Q4-C11-Re-Rl,A,,Q4-C11-Re-Rl in 7,
3.0,3.0,New-Re-Rl,IF,,,
3.0,3.0,Q3-C12-Re-Rs,A,,,
3.0,4.0,Q2-C21-Gr-Pr,A,,Q2-C21-Gr-Pr in 7,
3.0,4.0,Q2-C32-Bl-Pr,A,,Q2-C32-Bl-Pr  in 7,
3.0,4.0,New-Re-Rl,,IF,,
3.0,5.0,,,,,
3.0,6.0,New-Re-Pr,A,,,
3.0,7.0,New-Re-Pr,,A,,
3.0,7.0,Q3-C12-Re-Rs,,A,,
3.0,8.0,Q2-C23-Ye-Pr,IF,,,
3.0,9.0,,,,,
3.0,10.0,,,,,
3.0,11.0,Q1-C11-Gr-Rl,IF,,,
3.0,11.0,Q2-C23-Ye-Pr,,IF,,
3.0,12.0,Q1-C11-Gr-Rl,,IF,,
3.0,13.0,,,,,
3.0,14.0,Q2-C21-Gr-Pr,IF,,,
3.0,15.0,Q3-C33-Gr-Cy,"A,IF",,,
3.0,15.0,Q2-C21-Gr-Pr,,IF,,
