Quadrant,Utterance,object,in,out,Bound to,
2,1,Q4-C11-Re-Pr,A,,,
2,2,New-Bl-Pr,TI,,,
2,3,,,,,
2,4,Q2-C32-Bl-Pr,"A,IF",,,
2,4,Q4-C11-Re-Pr,,A,,
2,5,Q4-C11-Gr-Cu,"A,IF",,,
2,5,Q2-C32-Bl-Pr,,IF,,
2,6,,,,,
2,7,Q4-C33-Ye-Cu,"A,IF",,,
2,7,Q4-C11-Gr-Cu,,IF,,
2,7,Q4-C11-Re-Pr,,A,,
2,8,,,,,
2,9,Q4-C21-Gr-Rl,"A,IF",,,
2,9,Q4-C23-Gr-Rl,"A,IF",,,
2,9,Q4-C33-Ye-Cu,,IF,,
2,9,Q4-C11-Gr-Cu,,A,,
2,10,,,,,
2,11,Q4-C11-Re-Pr,A,,Possibly IF,"If A, breaks topic-role rule"
2,11,Q2-C32-Bl-Pr,A,,Possibly IF,
2,11,Q4-C21-Gr-Rl,,IF,,
2,11,Q4-C23-Gr-Rl,,IF,,
2,11,Q4-C33-Ye-Cu,,F,,
2,12,New-Gr-Cu,TI,,,
2,12,Q4-C21-Gr-Rl,,,"if IF, now A",
2,12,Q4-C23-Gr-Rl,,,"if IF, now A",
2,13,Q4-C21-Gr-Rl,,A,,
2,13,Q4-C23-Gr-Rl,,A,,
2,14,,,,,
2,15,,,,,
,,,,,,
,,,,,,
3,1,,,,,
3,2,New-Ye-Pr,"A,IF",,Q2-C33-Ye-Pr,
3,3,,,,,
3,4,,,,,
3,5,Q3-C32-Gr-Rl,"A,IF",,,
3,5,Q2-C33-Ye-Pr,,IF,,
3,6,Q3-C12-Re-Rl,"A,IF",,,
3,6,Q3-C32-Gr-Rl,,IF,,
3,7,New-Gr-Pr,"A,IF",,Q2-C21-Gr-Pr,
3,7,Q3-C12-Re-Rl,,IF,,
3,8,,,,,
3,9,Q3-C33-Gr-Cy,"A,IF",,,
3,9,Q2-C21-Gr-Pr,,IF,,
3,10,Q3-C12-Re-Rl,,A,,
3,11,Q3-C32-Re-Cy,A,,,
3,11,Q3-C33-Gr-Cy,,IF,,
3,11,Q3-C23-Re-Cy,A,,,
3,12,,,,,
3,13,,,,,
3,14,New-Bl-Pr,"A,IF",,,
3,15,,,,,
