Quadrant,Utterance,object,in,out,Notes,Bound to
2,1,New-Gr,A,,,Q1-C33-Gr-Cu (in 2-4)
2,1,Q4-C11-Gr-Cu,A,,,
2,1,New-Ye-Cu,A,,,Q2-C12-Ye-Cu (in 2-4
2,1,Q4-C33-Ye-Cu,A,,,
2,2,New-Bl-Rec,"A,IF",,,Q2-C32-Bl-Wr (in 2-4)
2,3,Q2-C32-Bl-Wr,"A,IF",,,
2,3,Q2-C31-Bl-Tr,A,,,
2,3,Q4-C11-Gr-Cu,,A,,
2,3,Q4-C33-Ye-Cu,,A,,
2,4,Q2-C12-Ye-Cu,A,,,
2,4,Q1-C33-Gr-Cu,A,,,
2,4,Q2-C31-Bl-Tr,,A,comes out of 'Activated' early because it is in a different quad,
2,5,Q1-C33-Gr-Cu,IF,,,
2,5,Q2-C32-Bl-Wr,,IF,,
2,6,Q2-C12-Ye-Cu,IF,,,
2,6,Q1-C33-Gr-Cu,,IF,,
2,7,Q4-C12-Re-Tr,"A,IF",,,
2,7,Q2-C12-Ye-Cu,,IF,,
2,8,Q4-C11-Gr-Cu,"A,IF",,,
2,8,Q4-C12-Re-Tr,,IF,,
2,9,Q4-C33-Ye-Cu,"A,IF",,,
2,9,Q4-C11-Gr-Cu,,IF,,
2,9,Q2-C32-Bl-Wr,,A,,
2,10,Q4-C23-Gr-Tr,"A,IF",,,
2,10,Q4-C33-Ye-Cu,,IF,,
2,10,Q4-C12-Re-Tr,,A,,
2,10,Q1-C33-Gr-Cu,,A,,
2,10,Q2-C12-Ye-Cu,,A,,
2,11,New-Gr-Ar,"A,IF",,, Q3-C11-Gr-Ar (2-12)
2,11,Q4-C12-Gr-Ar,A,,,
2,11,Q4-C23-Gr-Tr,,IF,,
2,11,Q4-C11-Gr-Cu,,A,,
2,11,Q4-C33-Ye-Cu,,A,,
2,12,Q4-C11-Re-Wr,A,,,
2,12,Q3-C11-Gr-Ar,,IF,,
2,12,Q4-C23-Gr-Tr,,A,,
2,13,New-Ye-Wr,"A,IF",,,Q3-C21-Ye-Wr (2-14)
2,14,,,,,
2,15,Q4-C31-Re-Tr,"A,IF",,,
2,15,Q4-C11-Re-Wr,,A,,
2,15,Q3-C21-Ye-Wr,,IF,,
,,,,,,
3,2,New-Ye-Pr,A,,,Q4-C21-Ye-Pr in 3-4
3,2,New-Gr-Pr,A,,,Q2-C21-Gr-Pr in 3-4
3,3,New-Re-Pr,A,,,
3,4,New-Re-Ts,"A,IF",,,
3,4,Q4-C31-Gr-Ts,A,,2-to-1 Disagrement (one coder beived not Activated),
3,4,Q4-C32-Re-Ts,A,,,
3,4,Q2-C11-Bl-Ts,A,,,
3,4,Q3-C12-Re-Ts,A,,,
3,5,New-Ye-Cu,"A,IF",,,
3,5,New-Re-Ts,,IF,,
3,5,Q4-C31-Gr-Ts,,A,,
3,5,Q4-C32-Re-Ts,,A,,
3,5,Q2-C11-Bl-Ts,,A,,
3,5,Q3-C12-Re-Ts,,A,,
3,6,New-Bl-Cy,"A,IF",,,
3,6,New-Ye-Cu,,IF,,
3,7,New-Bl-Cy,,IF,,
3,8,Q3-C32-Bl-Rl,"A,IF",,,
3,9,,,,,
3,10,Q3-C12-Re-Rl,"A,IF",,,
3,10,Q3-C32-Bl-Rl,,IF,,
3,11,Q4-C21-Ye-Pr,IF,,,
3,12,,,,,
3,13,Q2-C21-Gr-Pr,IF,,,
3,13,Q3-C32-Bl-Rl,,A,,
3,13,Q3-C12-Re-Rl,,A,,
3,13,Q4-C21-Ye-Pr,,IF,,
3,14,Q3-C33-Gr-Cy,"A,IF",,,
3,14,Q2-C21-Gr-Pr,,IF,,
3,14,New-Re-Pr,,A,May have gotten de-activated elsewhere,
3,14,New-Re-Ts,,A,,
3,14,New-Ye-Cu,,A,,
3,14,New-Bl-Cy,,A,,
3,15,Q3-C23-Re-Cu,A,,,
3,15,Q3-C32-Re-Cu,A,,,
3,15,Q3-C33-Gr-Cy,,IF,,
3,15,Q4-C21-Ye-Pr,,A,,
