Quadrant,Utterance,object,in,out,Bound to,Notes
2,1,New-Bl-Pr,"A,IF",,Q2-C32-Bl-Pr in 2-8,
2,2,Q4-C13-Re-Rs,A,,,
2,2,New-Bl-Pr,,IF,,
2,2,New-Re-Pr,"A,IF",,,
2,3,New-Bl-Pr,IF,,,
2,3,Q4-C11-Re-Pr,A,,,
2,3,New-Re-Pr,,"A,IF",,
2,3,Q4-C13-Re-Rs,,A,,
2,4,,,,,
2,5,New-Gr-Ar1,A,,Q3-C11-Gr-Ar in 2-8,
2,5,New-Gr-Ar2,A,,Q4-C12-Gr-Ar,
2,5,Q4-C12-Gr-Ar,A,,,"The arch itself is not activated here, but rather a representation of the arch"
2,5,New-Bl-Cy,A,,Q2-C32-Bl-Cy in 2-8,
2,5,New-Bl-Pr,,IF,,
2,5,Q4-C11-Re-Pr,,A,,
2,6,New-Gr-Cu1,A,,Q4-C11-Gr-Cu in 2-7,
2,6,New-Gr-Cu2,A,,,
2,6,New-Bl-Pr,,A,,
2,7,Q4-C11-Gr-Cu,A,,,"The cube itself is not activated here, but rather a representation of the cube"
2,8,,,,,
2,9,Q4-C11-Gr-Cu,IF,,,
2,10,New-Gr-Cu2,IF,,,
2,10,Q4-C11-Gr-Cu,,IF,,
2,11,Q4-C33-Ye-Cu,A,,,
2,11,New-Ye-Cu,A,,,
2,11,Q4-C11-Re-Pr,A,,,
2,11,New-Gr-Cu2,,IF,,
2,11,New-Gr-Ar2,,A,,
2,11,Q2-C32-Bl-Cy,,A,,
2,12,New-Gr-Rl,A,,,
2,12,Q4-C32-Gr-Rl,A,,,
2,13,Q4-C32-Gr-Rl,,A,,
2,13,Q4-C11-Re-Pr,,A,,
2,13,Q4-C33-Ye-Cu,,A,,
2,13,Q4-C11-Gr-Cu,,A,,
2,14,Q4-C32-Gr-Rl,A,,,
2,14,Q3-C33-Gr-Rl,A,,,
2,14,Q2-C13-Ye-Cu,A,,,
2,15,Q3-C11-Gr-Ar,A,,,
2,15,Q4-C12-Gr-Ar,A,,,
,,,,,,
3,1,New-Ye-Pr,"A,IF",,Q2-C23-Ye-Pr in 7,
3,2,New-Gr-Rl,A,,Q1-C11-Gr-Rl in 7,
3,2,New-Ye-Pr,,IF,,
3,2,New-Re-Rl,A,,Q4-C11-Re-Rl in 7,
3,3,New-Re-Rl,IF,,,
3,3,Q3-C12-Re-Rs,A,,,
3,4,New-Gr-Pr,A,,Q2-C21-Gr-Pr in 7,
3,4,New-Bl-Pr,A,,Q2-C32-Bl-Pr  in 7,
3,4,New-Re-Rl,,IF,,
3,5,,,,,
3,6,New-Re-Pr,A,,,
3,7,New-Re-Pr,,A,,
3,7,Q3-C12-Re-Rs,,A,,
3,8,Q2-C23-Ye-Pr,IF,,,
3,9,,,,,
3,10,,,,,
3,11,Q1-C11-Gr-Rl,IF,,,
3,11,Q2-C23-Ye-Pr,,IF,,
3,12,Q1-C11-Gr-Rl,,IF,,
3,13,,,,,
3,14,Q2-C21-Gr-Pr,IF,,,
3,15,Q3-C33-Gr-Cy,"A,IF",,,
3,15,Q2-C21-Gr-Pr,,IF,,
