Quadrant,Utterance,object,in,out,Bound to
2,1,Q4-C22-Ye-Cu,"A,IF",,
2,2,,,,
2,3,Q4-C21-Ye-Cu,"A,IF",,
2,3,Q4-C22-Ye-Cu,,IF,
2,4,,,,
2,5,Q4-C32-Gr-Cu,"A,IF",,
2,5,Q4-C21-Ye-Cu,,IF,
2,6,,,,
2,7,Q4-C11-Gr-Cu,"A,IF",,
2,7,Q4-C32-Gr-Cu,,IF,
2,8,,,,
2,9,Q4-C31-Gr-Rl,"A,IF",,
2,9,Q4-C11-Gr-Cu,,IF,
2,9,Q4-C21-Ye-Cu,,A,
2,9,Q4-C21-Ye-Cu,,A,
2,10,Q4-C21-Ye-Cu,A,,
2,10,Q4-C21-Ye-Cu,A,,
2,11,New-Gr-Rl,"A,IF",,Q1-C31-Gr-Rl in 2-12
2,11,Q4-C31-Gr-Rl,,IF,
2,12,Q4-C32-Gr-Cu,,A,
2,12,Q4-C11-Gr-Cu,,A,
2,12,Q4-C21-Ye-Cu,,A,
2,12,Q4-C21-Ye-Cu,,A,
2,13,Q4-C33-Re-Pr,A,,
2,13,New-Bl-Pr,"A,IF",,Q3-C12-Bl-Pr in 2-14
2,13,Q1-C31-Gr-Rl,,IF,
2,14,Q4-C11-Gr-Cu,A,,
2,14,Q4-C32-Gr-Cu,A,,
2,14,Q4-C31-Gr-Rl,,A,
2,14,Q1-C31-Gr-Rl,,A,
2,15,Q4-C13-Re-Pr,"A,IF",,
2,15,Q3-C12-Bl-Pr,,IF,
,,,,,
3,1,Q3-C22-Ye-Cu,A,,
3,1,Q3-C22-Gr-Pr,A,,
3,2,Q3-C22-Ye-Cu,,A,
3,2,Q3-C22-Gr-Pr,,A,
3,2,Q3-C12-Re-Rl,A,,
3,2,New-Gr-Rl,"A,IF",,Q2-C23-Gr-Rl in 3-3
3,3,,,,
3,4,Q3-C12-Re-Rl,IF,,
3,4,Q2-C23-Gr-Rl,,IF,
3,5,Q3-C22-Gr-Pr,"A,IF",,
3,5,Q3-C12-Re-Rl,,IF,
3,6,,,,
3,7,Q2-C23-Gr-Rl,,A,
3,7,Q3-C22-Gr-Pr,,IF,
3,7,New-Ye-Pr,"A,IF",,Q1-C12-Ye-Pr in 3-8
3,8,Q3-C22-Gr-Pr,,A,
3,8,Q3-C12-Re-Rl,,A,
3,9,Q3-C31-Bl-Cu,"A,IF",,
3,9,Q1-C12-Ye-Pr,,IF,
3,10,,,,
3,11,Q3-C13-Bl-Cu,"A,IF",,
3,11,Q3-C31-Bl-Cu,,IF,
3,12,Q1-C12-Ye-Pr,,A,
3,13,Q3-C32-Re-Cu,"A,IF",,
3,14,Q3-C13-Bl-Cu,,IF,
3,14,Q3-C22-Gr-Pr,A,,
3,14,Q3-C32-Re-Cu,,"A,IF",
3,14,Q3-C21-Re-Cu,"A,IF",,
3,15,Q3-C32-Re-Cu,"A,IF",,
3,,,,,
3,,,,,
