Quadrant,Utterance,object,in,out,Bound to,Notes
2,1,Q4-C23-Bl-Pr,"A,IF",,,
2,2,,,,,
2,3,,,,,
2,4,Q4-C11-Re-Pr,"A,IF",,,
2,4,Q4-C23-Bl-Pr,,IF,,
2,5,Q4-C11-Re-Pr,,IF,,
2,5,New-Gr-Cu,A,,Q1-C33-Gr-Cu in 2-8,
2,5,Q4-C11-Gr-Cu,"A,IF",,,Not sure if IF
2,6,Q4-C11-Gr-Cu,,IF,,
2,6,New-Gr-Cu,IF,,,
2,7,New-Ye-Cu,"A,IF",,Q2-C12-Ye-Cu in 2-8,
2,7,New-Gr-Cu,,IF,,
2,8,Q2-C12-Ye-Cu,,IF,,
2,8,,,,,2 cubes together are IF
2,8,Q4-C23-Bl-Pr,,A,,
2,8,Q4-C11-Re-Pr,,A,,
2,9,Q4-C33-Ye-Cu,A,,,2 cubes together are IF
2,10,Q4-C21-Gr-Rl,A,,,
2,10,Q4-C23-Gr-Rl,A,,,
2,11,,,,,
2,12,Q4-C11-Gr-Cu,,A,,
2,12,Q1-C33-Gr-Cu,,A,,
2,12,Q2-C12-Ye-Cu,,A,,
2,12,Q4-C33-Ye-Cu,,A,,
2,13,Q4-C32-Re-Ts,"A,IF",,,
2,14,,,,,
2,15,New-Re-Rl,"A,IF",,,
2,15,Q4-C32-Re-Ts,,IF,,
2,15,Q4-C13-Re-Rs,A,,,
,,,,,,
3,1,Q3-C32-Gr-Rl,"A,IF",,,
3,2,,,,,
3,3,Q3-C12-Re-Rl,"A,IF",,,
3,3,Q3-C32-Gr-Rl,,IF,,
3,4,New-Ye-Pr,"A,IF",,Q2-C23-Ye-Pr in 9,
3,4,Q3-C12-Re-Rl,,IF,,
3,5,,,,,
3,6,New-Bl-Pr,A,,,
3,7,,,,,
3,8,,,,,
3,9,Q2-C23-Ye-Pr,,,,Block becomes IF when Learner only brings the yellow prism back
3,9,New-Bl-Pr,,A,,
3,9,Q3-C32-Gr-Rl,,A,,
3,10,Q3-C13-Bl-Cu,A,,,
3,10,Q3-C22-Bl-Cu,A,,,
3,10,Q2-C23-Ye-Pr,,IF,,
3,11,New-Gr-Pr,A,,Q2-C21-Gr-Pr in 3-12,
3,11,New-Re-Pr,A,,Q2-C23-Re-Pr in 3-12,
3,12,Q2-C21-Gr-Pr,IF,,,
3,13,,,,,
3,14,Q3-C33-Gr-Cy,"A,IF",,,
3,14,Q3-C12-Re-Rl,,A,,
3,14,Q2-C21-Gr-Pr,,IF,,
3,15,Q3-C32-Re-Cu,A,,,
3,15,Q3-C23-Re-Cu,A,,,
3,15,Q2-C23-Ye-Pr,,A,,
3,15,Q3-C33-Gr-Cy,,IF,,
