Quadrant,Utterance,object,in,out,Notes,Bound to
2,1,New-Bl-Pr,"A,IF",,,Q2-C32-Bl-Pr on 2-2
2,2,,,,,
2,3,Q4-C11-Gr-Cu,"A,IF",,,
2,3,Q2-C32-Bl-Pr,,IF,,
2,4,,,,,
2,5,Q4-C11-Gr-Cu,,IF,,
2,6,Q4-C33-Ye-Cu,"A,IF",,,
2,7,,,,,
2,8,Q4-C11-Re-Pr,"A,IF",,,
2,8,Q4-C33-Ye-Cu,,IF,,
2,9,,,,,
2,10,New-Gr-Cu,"A,IF",,,Q1-C33-Gr-Cu in 2-11
2,10,Q4-C11-Re-Pr,,IF,,
2,10,Q4-C33-Ye-Cu,,A,,
2,11,Q2-C32-Bl-Pr,,A,,
2,12,New-Ye-Cu,"A,IF",,,Q2-C13-Ye-Cu in 2-13
2,12,Q1-C33-Gr-Cu,,IF,,
2,12,Q4-C11-Re-Pr,,A,,
2,13,Q4-C33-Ye-Cu,A,,,
2,13,Q4-C11-Gr-Cu,,A,,
2,14,Q4-C12-Gr-Ar,"A,IF",,,
2,14,Q2-C13-Ye-Cu,,IF,,
2,15,Q4-C11-Re-Pr,A,,,
,,,,,,
3,1,Q3-C32-Gr-Rl,"A,IF",,,
3,2,,,,,
3,3,,,,,
3,4,Q3-C31-Re-Rl,"A,IF",,,
3,4,Q3-C32-Gr-Rl,,IF,,
3,5,,,,,
3,6,Q3-C33-Gr-Cy,"A,IF",,,
3,6,Q3-C31-Re-Rl,,IF,,
3,7,,,,,
3,8,New-Ye-Pr,"A,IF",,,Q2-C23-Ye-Pr in 3-9
3,8,Q3-C33-Gr-Cy,,IF,,
3,8,Q3-C32-Re-Cu,A,,,
3,9,Q3-C32-Re-Cu,,A,,
3,10,,,,,
3,11,New-Gr-Pr,"A,IF",,,Q2-C21-Gr-Pr in 3-12
3,11,Q2-C23-Ye-Pr,,IF,,
3,13,Q2-C21-Gr-Pr,,IF,,
3,14,Q3-C32-Re-Cu,"A,IF",,,
3,15,,,,,
