,Objects
1,Q1-C11-Re-Ar
2,Q1-C11-Gr-Rs
3,Q1-C12 -Gr-Cu
4,Q1-C12-Bl-Sc
5,Q1-C13-Re-Cu
6,Q1-C13-Gr-Tl
7,Q1-C21-Gr-Cy
8,Q1-C21-Ye-Cy
9,Q1-C22-Ye-Cu
10,Q1-C22-Gr-Cy
11,Q1-C23-Bl-Ts
12,Q1-C23-Bl-Sc
13,Q1-C31-Bl-Ar
14,Q1-C31-Ye-Rs
15,Q1-C32-Re-Ts
16,Q1-C32-Re-Rs
17,Q1-C33-Gr-Cu
18,Q1-C33-Re-Ar
19,Q2-C11-Ye-Ar
20,Q2-C11-Bl-Ts
21,Q2-C12-Ye-Cu
22,Q2-C12-Ye-Rs
23,Q2-C13-Ye-Cu
24,Q2-C13-Bl-Ar
25,Q2-C21-Gr-Pr
26,Q2-C21-Bl-Sc
27,Q2-C22-Gr-Sc
28,Q2-C22-Bl-Rl
29,Q2-C23-Ye-Pr
30,Q2-C23-Re-Pr
31,Q2-C31-Bl-Rl
32,Q2-C31-Bl-Cu
33,Q2-C32-Bl-Pr
34,Q2-C32-Bl-Cy
35,Q2-C33-Bl-Cy
36,Q2-C33-Ye-Tl
37,Q3-C11-Gr-Tl
38,Q3-C11-Gr-Ar
39,Q3-C12-Re-Rl
40,Q3-C12-Re-Ts
41,Q3-C13-Re-Tl
42,Q3-C13-Bl-Cu
43,Q3-C21-Ye-Pr
44,Q3-C21-Bl-Cy
45,Q3-C22-Bl-Cu
46,Q3-C22-Ye-Cy
47,Q3-C23-Re-Cu
48,Q3-C23-Re-Ar
49,Q3-C31-Re-Rl
50,Q3-C31-Ye-Tl
51,Q3-C32-Re-Cu
52,Q3-C32-Gr-Rl
53,Q3-C33-Gr-Cy
54,Q3-C33-Bl-Rs
55,Q4-C11-Re-Pr
56,Q4-C11-Gr-Cu
57,Q4-C11-Re-Pr
58,Q4-C12-Gr-Ar
59,Q4-C13-Re-Rs
60,Q4-C13-Re-Cy
61,Q4-C21-Gr-Rl
62,Q4-C21-Ye-Pr
63,Q4-C22-Ye-Cy
64,Q4-C22-Bl-Tl
65,Q4-C23-Bl-Pr
66,Q4-C23-Gr-Rl
67,Q4-C31-Gr-Ts
68,Q4-C31-Gr-Sc
69,Q4-C32-Re-Ts
70,Q4-C32-Re-Tl
71,Q4-C33-Ye-Rl
72,Q4-C33-Ye-Cu
