Object Nums,Objects
1,Q1-C11-Bl-Cu
2,Q1-C11-Gr-Tl
3,Q1-C12-Bl-Cu
4,Q1-C12-Gr-Ts
5,Q1-C13-Bl-Cu
6,Q1-C13-Re-Ar
7,Q1-C21-Gr-Cu
8,Q1-C21-Bl-Rs
9,Q1-C22-Ye-Cu
10,Q1-C22-Gr-Cy
11,Q1-C23-Re-Cu
12,Q1-C23-Re-Ts
13,Q1-C31-Re-Ar
14,Q1-C31-Ye-Rs
15,Q1-C32-Ye-Rl
16,Q1-C32-Gr-Cy
17,Q1-C33-Gr-Cu
18,Q1-C33-Bl-Ar
19,Q2-C11-Ye-Cu
20,Q2-C11-Bl-Ts
21,Q2-C12-Ye-Cu
22,Q2-C12-Re-Pr
23,Q2-C13-Ye-Rs
24,Q2-C13-Bl-Cy
25,Q2-C21-Ye-Rs
26,Q2-C21-Gr-Pr
27,Q2-C22-Gr-Cu
28,Q2-C22-Bl-Rs
29,Q2-C23-Bl-Rl
30,Q2-C23-Bl-Cy
31,Q2-C31-Bl-Tr
32,Q2-C31-Ye-Ar
33,Q2-C32-Gr-Rl
34,Q2-C32-Bl-Wr
35,Q2-C33-Bl-Cu
36,Q2-C33-Bl-Rl
37,Q3-C11-Bl-Tl
38,Q3-C11-Gr-Ar
39,Q3-C12-Re-Rl
40,Q3-C12-Re-Ar
41,Q3-C13-Gr-Rl
42,Q3-C13-Gr-Cy
43,Q3-C21-Re-Rl
44,Q3-C21-Ye-Wr
45,Q3-C22-Ye-Cy
46,Q3-C22-Re-Cu
47,Q3-C23-Gr-Rl
48,Q3-C23-Re-Cu
49,Q3-C31-Gr-Ar
50,Q3-C31-Gr-Tl
51,Q3-C32-Bl-Rl
52,Q3-C32-Re-Cu
53,Q3-C33-Gr-Cy
54,Q3-C33-Ye-Ts
55,Q4-C11-Re-Wr
56,Q4-C11-Gr-Cu
57,Q4-C12-Re-Tr
58,Q4-C12-Gr-Ar
59,Q4-C13-Ye-Cu
60,Q4-C13-Ye-Rl
61,Q4-C21-Gr-Ar
62,Q4-C21-Ye-Pr
63,Q4-C22-Gr-Cu
64,Q4-C22-Ye-Cy
65,Q4-C23-Re-Tl
66,Q4-C23-Gr-Tr
67,Q4-C31-Gr-Ts
68,Q4-C31-Re-Tr
69,Q4-C32-Ye-Pr
70,Q4-C32-Re-Ts
71,Q4-C33-Ye-Cu
72,Q4-C33-Gr-Ts
