Quadrant,Utterance,Object,Current Status,Mentioned,Gesture,Grammatical Role,Previous Status
2,1,Q1-C11-Bl-Sc,UI,N,N,N,UI
2,1,Q1-C11-Re-Ar,UI,N,N,N,UI
2,1,Q1-C12-Ye-Tl,UI,N,N,N,UI
2,1,Q1-C12-Re-Ts,UI,N,N,N,UI
2,1,Q1-C13-Bl-Cy,UI,N,N,N,UI
2,1,Q1-C13-Re-Rl,UI,N,N,N,UI
2,1,Q1-C21-Re-Ar,UI,N,N,N,UI
2,1,Q1-C21-Gr-Sc,UI,N,N,N,UI
2,1,Q1-C22-Gr-Tl,UI,N,N,N,UI
2,1,Q1-C22-Ye-Cy,UI,N,N,N,UI
2,1,Q1-C23-Ye-Tl,UI,N,N,N,UI
2,1,Q1-C23-Re-Rl,UI,N,N,N,UI
2,1,Q1-C31-Bl-Ar,UI,N,N,N,UI
2,1,Q1-C31-Gr-Cu,UI,N,N,N,UI
2,1,Q1-C32-Ye-Rl,UI,N,N,N,UI
2,1,Q1-C32-Re-Ts,UI,N,N,N,UI
2,1,Q1-C33-Gr-Cy,UI,N,N,N,UI
2,1,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,1,Q2-C11-Re-Cy,F,N,N,N,F
2,1,Q2-C11-Bl-Tl,F,N,N,N,F
2,1,Q2-C12-Bl-Cu,F,N,N,N,F
2,1,Q2-C12-Ye-Rl,F,N,N,N,F
2,1,Q2-C13-Gr-Ts,F,N,N,N,F
2,1,Q2-C13-Bl-Pr,A,M,N,conj,F
2,1,Q2-C21-Re-Ar,F,N,N,N,F
2,1,Q2-C21-Bl-Tl,F,N,N,N,F
2,1,Q2-C22-Bl-Rl,F,N,N,N,F
2,1,Q2-C22-Ye-Cu,F,N,N,N,F
2,1,Q2-C23-Ye-Ts,F,N,N,N,F
2,1,Q2-C23-Bl-Sc,F,N,N,N,F
2,1,Q2-C31-Ye-Rs,F,N,N,N,F
2,1,Q2-C31-Gr-Cu,A,M,N,dobj,F
2,1,Q2-C32-Bl-Sc,F,N,N,N,F
2,1,Q2-C32-Gr-Cy,F,N,N,N,F
2,1,Q2-C33-Gr-Sc,F,N,N,N,F
2,1,Q2-C33-Ye-Ar,F,N,N,N,F
2,1,Q3-C11-Re-Tl,UI,N,N,N,UI
2,1,Q3-C11-Bl-Cu,UI,N,N,N,UI
2,1,Q3-C12-Bl-Pr,UI,N,N,N,UI
2,1,Q3-C12-Re-Rl,UI,N,N,N,UI
2,1,Q3-C13-Re-Pr,UI,N,N,N,UI
2,1,Q3-C13-Bl-Cu,UI,N,N,N,UI
2,1,Q3-C21-Re-Cu,UI,N,N,N,UI
2,1,Q3-C21-Bl-Rs,UI,N,N,N,UI
2,1,Q3-C22-Ye-Cu,UI,N,N,N,UI
2,1,Q3-C22-Gr-Rl,UI,N,N,N,UI
2,1,Q3-C23-Re-Ts,UI,N,N,N,UI
2,1,Q3-C23-Ye-Pr,UI,N,N,N,UI
2,1,Q3-C31-Re-Ts,UI,N,N,N,UI
2,1,Q3-C31-Gr-Pr,UI,N,N,N,UI
2,1,Q3-C32-Ye-Tl,UI,N,N,N,UI
2,1,Q3-C32-Gr-Cu,A,M,N,dobj,UI
2,1,Q3-C33-Gr-Cy,UI,N,N,N,UI
2,1,Q3-C33-Re-Rl,A,M,N,NI,UI
2,1,Q4-C11-Re-Ts,UI,N,N,N,UI
2,1,Q4-C11-Gr-Pr,UI,N,N,N,UI
2,1,Q4-C12-Ye-Cu,UI,N,N,N,UI
2,1,Q4-C12-Gr-Tl,UI,N,N,N,UI
2,1,Q4-C13-Re-Cu,UI,N,N,N,UI
2,1,Q4-C13-Gr-Tl,UI,N,N,N,UI
2,1,Q4-C21-Gr-Cy,UI,N,N,N,UI
2,1,Q4-C21-Re-Pr,A,M,IR,pobj,UI
2,1,Q4-C22-Re-Pr,UI,N,N,N,UI
2,1,Q4-C22-Ye-Cu,A,M,DP,NI,UI
2,1,Q4-C23-Gr-Ar,UI,N,N,N,UI
2,1,Q4-C23-Ye-Pr,UI,N,N,N,UI
2,1,Q4-C31-Bl-Pr,UI,N,N,N,UI
2,1,Q4-C31-Re-Ts,UI,N,N,N,UI
2,1,Q4-C32-Gr-Ts,UI,N,N,N,UI
2,1,Q4-C32-Bl-Rl,UI,M,DP,NI,UI
2,1,Q4-C33-Gr-Ts,UI,N,N,N,UI
2,1,Q4-C33-Ye-Rs,UI,N,N,N,UI
2,2,Q1-C11-Bl-Sc,UI,N,N,N,UI
2,2,Q1-C11-Re-Ar,UI,N,N,N,UI
2,2,Q1-C12-Ye-Tl,UI,N,N,N,UI
2,2,Q1-C12-Re-Ts,UI,N,N,N,UI
2,2,Q1-C13-Bl-Cy,UI,N,N,N,UI
2,2,Q1-C13-Re-Rl,UI,N,N,N,UI
2,2,Q1-C21-Re-Ar,UI,N,N,N,UI
2,2,Q1-C21-Gr-Sc,UI,N,N,N,UI
2,2,Q1-C22-Gr-Tl,UI,N,N,N,UI
2,2,Q1-C22-Ye-Cy,UI,N,N,N,UI
2,2,Q1-C23-Ye-Tl,UI,N,N,N,UI
2,2,Q1-C23-Re-Rl,UI,N,N,N,UI
2,2,Q1-C31-Bl-Ar,UI,N,N,N,UI
2,2,Q1-C31-Gr-Cu,UI,N,N,N,UI
2,2,Q1-C32-Ye-Rl,UI,N,N,N,UI
2,2,Q1-C32-Re-Ts,UI,N,N,N,UI
2,2,Q1-C33-Gr-Cy,UI,N,N,N,UI
2,2,Q1-C33-Bl-Ar,UI,N,N,N,UI
2,2,Q2-C11-Re-Cy,F,N,N,N,F
2,2,Q2-C11-Bl-Tl,F,N,N,N,F
2,2,Q2-C12-Bl-Cu,F,N,N,N,F
2,2,Q2-C12-Ye-Rl,F,N,N,N,F
